SA1_7DIGITCODE_2016,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
5118107,52,90,6,22,33,38,3,11,3,248
5118108,48,76,17,21,32,29,3,5,3,231
5118109,36,77,17,24,28,18,9,13,3,230
5118110,37,69,24,26,31,21,3,12,12,230
5118111,48,92,31,36,47,26,7,12,4,306
5118112,65,75,31,33,39,19,4,14,5,278
5118113,47,106,24,31,43,26,5,10,7,293
5118114,29,63,15,14,26,29,5,12,4,201
5118115,39,71,10,22,21,11,3,18,4,199
5118116,36,64,24,19,33,31,9,16,3,237
5118117,13,32,28,13,16,12,8,8,0,132
5118118,45,77,35,53,39,28,10,20,3,298
5118119,30,54,28,24,32,32,9,10,3,220
5118120,55,91,42,34,51,26,11,13,6,333
5118121,60,70,36,18,32,30,9,10,3,269
5118122,28,73,41,37,33,21,7,15,3,258
5118123,44,61,24,14,43,17,3,8,3,229
5118124,59,110,27,35,53,27,3,10,0,324
5118125,46,116,40,21,48,31,10,22,3,339
5118126,48,64,30,27,41,19,3,16,0,234
5118127,8,27,12,11,13,12,0,8,0,89
5118128,38,67,14,18,42,22,7,14,0,224
5118129,37,62,20,17,40,22,3,11,3,212
5118130,42,71,46,37,58,28,11,18,5,311
5118131,69,58,11,18,33,25,6,8,5,232
5118132,46,56,23,21,34,22,6,9,5,220
5118201,27,63,30,27,45,24,25,20,0,269
5118202,21,63,47,20,32,26,13,23,4,245
5118203,8,24,18,13,19,6,7,15,8,117
5118204,36,33,23,15,22,17,5,23,3,182
5118205,18,41,16,29,25,17,12,13,0,163
5118206,19,50,34,25,24,25,10,16,5,216
5118207,24,49,34,15,34,19,18,19,0,199
5118208,20,48,18,15,23,21,7,14,0,170
5118209,33,51,29,22,44,18,13,18,0,226
5118210,36,76,38,21,42,35,19,19,8,288
5118211,11,29,14,10,15,15,4,13,4,117
5118212,17,68,23,26,23,23,10,20,0,204
5118213,28,45,37,53,40,49,12,28,3,290
5118214,18,65,31,24,23,18,9,20,0,220
5118215,9,29,21,12,14,28,9,16,0,129
5118216,21,39,24,11,25,20,9,18,0,161
5118217,22,61,26,20,26,16,3,24,0,208
5118218,12,54,29,13,33,16,12,24,3,201
5118219,27,42,11,20,27,20,0,10,4,151
5118220,29,53,15,19,30,20,7,12,0,194
5118221,41,65,35,16,59,34,3,25,4,281
5118222,27,44,18,10,28,27,10,11,0,171
5118223,33,88,32,33,44,24,8,20,3,282
5118224,31,94,31,26,45,27,10,34,3,298
5118225,9,47,11,10,28,17,5,6,0,141
5118226,10,42,16,18,11,10,3,11,4,129
5118227,30,88,30,34,38,40,11,20,4,297
5118228,16,45,31,20,26,34,4,13,4,195
5118301,15,56,40,28,24,15,10,19,0,203
5118302,40,80,42,28,47,23,16,17,5,298
5118303,24,46,28,20,17,3,5,24,3,162
5118304,19,64,34,22,25,12,9,15,4,206
5118305,23,37,20,25,25,12,6,19,0,182
5118306,37,62,22,28,38,15,11,22,0,242
5118307,5,20,7,9,9,4,4,12,4,73
5118308,26,80,43,24,44,15,13,27,3,269
5118309,19,45,29,23,18,7,5,16,4,166
5118310,23,51,29,27,24,11,6,20,4,202
5118401,19,39,13,12,21,18,7,3,0,137
5118402,15,37,14,10,25,10,0,9,0,122
5118403,43,69,15,22,36,37,5,12,0,231
5118404,29,52,15,6,30,11,5,4,3,159
5118405,9,51,6,14,14,13,0,11,3,123
5118406,19,38,11,15,14,22,0,14,0,133
5118407,0,0,0,0,0,0,0,0,0,0
5118408,26,50,12,14,17,20,5,13,3,160
5118409,48,80,26,27,33,19,5,21,10,269
5118410,31,65,30,21,37,36,5,12,3,243
5118411,38,51,23,18,29,21,3,17,0,189
5118412,19,30,10,13,10,18,0,10,0,112
5118413,25,49,15,16,17,20,3,12,3,158
5118414,25,57,16,18,24,21,3,16,6,190
5118415,16,36,10,9,18,11,3,5,0,115
5118416,12,63,15,8,16,15,8,8,0,144
5118417,33,51,11,9,17,23,0,6,0,160
5118418,39,101,16,28,31,23,4,7,7,245
5118501,0,0,0,0,0,0,0,0,0,0
5118506,9,16,44,18,22,13,9,17,3,150
5118507,24,21,26,15,18,8,10,6,3,134
5118508,16,29,14,10,20,10,6,3,0,114
5118509,23,18,38,14,23,13,20,22,3,175
5118510,37,63,109,68,72,58,44,53,12,519
5118511,138,201,307,170,206,152,165,129,17,1480
5118512,19,19,29,22,24,7,16,21,0,149
5118513,17,27,38,21,15,19,23,24,3,185
5118516,8,23,31,16,17,13,18,8,0,132
5118517,32,40,49,36,49,26,9,24,0,265
5118518,28,27,40,27,25,14,16,14,0,177
5118519,23,36,42,31,33,15,12,15,0,216
5118520,23,30,29,24,24,21,17,20,4,190
5118521,47,42,50,38,47,27,27,21,5,310
5118525,16,31,42,35,26,25,13,17,3,220
5118526,35,24,41,25,30,7,17,18,3,192
5118527,61,85,121,77,75,67,54,48,8,593
5118528,20,66,59,38,41,28,38,28,13,323
5118529,27,46,53,39,31,24,23,29,3,270
5118530,22,28,35,41,32,20,23,17,4,218
5118531,22,36,30,30,22,20,17,10,8,200
5118532,16,42,33,23,34,21,28,21,5,220
5118533,25,25,36,24,27,16,17,14,3,191
5118534,18,29,30,28,14,15,7,17,8,163
5118535,24,47,55,38,32,25,19,21,10,256
5118536,31,43,38,32,27,13,7,16,0,216
5118537,20,31,64,30,44,22,25,29,0,253
5118538,32,43,58,34,52,32,22,27,3,305
5118539,20,30,44,33,39,21,20,25,4,236
5118540,24,51,65,50,44,26,30,27,6,322
5118541,40,56,64,49,56,40,34,35,8,368
5118542,14,27,32,19,18,16,13,19,0,156
5118543,32,61,80,58,64,39,42,39,8,422
5118544,15,26,23,12,24,18,20,10,0,145
5118545,30,33,50,29,33,26,25,20,3,242
5118546,0,3,0,0,0,0,0,0,0,3
5118547,0,3,3,5,8,4,3,12,3,37
5118548,4,12,5,11,13,11,5,12,0,83
5118549,25,48,51,27,48,27,24,21,3,272
5118550,36,55,67,34,52,36,35,23,6,351
5118551,47,88,184,121,117,79,82,90,18,822
5118552,30,56,69,40,49,24,16,24,3,313
5118553,0,0,0,0,0,0,0,0,0,0
5118554,22,31,41,28,23,19,11,16,4,191
5118555,17,40,67,36,41,37,29,29,5,310
5118556,24,17,32,19,29,17,17,13,5,177
5118557,19,43,56,28,34,17,11,25,6,240
5118558,17,42,43,37,30,17,22,16,5,230
5118559,19,29,31,23,14,24,11,14,0,159
5118560,48,97,137,94,101,73,81,76,14,717
5118561,54,75,88,48,81,48,54,38,3,485
5118562,58,97,126,75,76,59,56,45,7,598
5118601,7,8,27,16,15,15,24,20,0,141
5118602,11,27,40,26,18,23,29,23,0,197
5118603,5,9,39,13,10,12,17,15,3,124
5118604,15,16,40,25,18,15,32,22,3,190
5118605,17,16,60,24,30,15,33,29,6,225
5118606,15,21,25,21,19,16,20,28,5,162
5118607,10,16,25,11,17,21,14,26,3,136
