SA1_7DIGITCODE_2016,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,Inc_1_149_Family_hholds,Inc_1_149_NonFamHholds,Inc_1_149_Tot,Inc_150_299_Family_hholds,Inc_150_299_NonFamHholds,Inc_150_299_Tot,Inc_300_399_Family_hholds,Inc_300_399_NonFamHholds,Inc_300_399_Tot,Inc_400_499_Family_hholds,Inc_400_499_NonFamHholds,Inc_400_499_Tot,Inc_500_649_Family_hholds,Inc_500_649_NonFamHholds,Inc_500_649_Tot,Inc_650_799_Family_hholds,Inc_650_799_NonFamHholds,Inc_650_799_Tot,Inc_800_999_Family_hholds,Inc_800_999_NonFamHholds,Inc_800_999_Tot,Inc_1000_1249_Family_hholds,Inc_1000_1249_NonFamHholds,Inc_1000_1249_Tot,Inc_1250_1499_Family_hholds,Inc_1250_1499_NonFamHholds,Inc_1250_1499_Tot,Inc_1500_1749_Family_hholds,Inc_1500_1749_NonFamHholds,Inc_1500_1749_Tot,Inc_1750_1999_Family_hholds,Inc_1750_1999_NonFamHholds,Inc_1750_1999_Tot,Inc_2000_2499_Family_hholds,Inc_2000_2499_NonFamHholds,Inc_2000_2499_Tot,Inc_2500_2999_Family_hholds,Inc_2500_2999_NonFamHholds,Inc_2500_2999_Tot,Inc_3000_3499_Family_hholds,Inc_3000_3499_NonFamHholds,Inc_3000_3499_Tot,Inc_3500_3999_Family_hholds,Inc_3500_3999_NonFamHholds,Inc_3500_3999_Tot,Inc_4000orMore_Family_hholds,Inc_4000orMore_NonFamHholds,Inc_4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
5100232,3,0,3,0,0,0,0,0,0,0,7,7,0,3,3,3,0,0,11,3,7,8,3,8,9,0,8,9,0,9,4,0,4,7,0,7,12,3,14,4,0,7,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,72,20,93
5100233,0,0,0,0,0,0,0,0,3,0,0,0,3,17,22,8,3,6,14,4,17,10,3,13,10,5,10,9,3,12,9,0,7,3,0,3,18,3,20,10,0,10,4,0,4,0,0,0,3,0,3,11,0,11,0,0,3,112,43,152
5100234,0,5,5,3,0,3,0,4,6,0,3,4,7,4,8,7,8,15,8,5,14,12,7,19,14,13,24,14,3,17,10,6,17,15,3,17,24,0,22,13,0,13,10,3,8,3,0,3,8,0,11,24,6,29,0,4,8,169,80,249
5100235,0,0,0,3,0,4,3,10,11,4,5,10,11,5,14,7,8,13,22,7,28,9,7,15,13,0,12,11,4,16,9,7,15,5,0,4,11,3,13,3,0,3,3,0,4,0,0,0,8,0,4,18,3,17,3,5,7,140,61,197
5100236,4,0,6,0,0,0,0,0,3,0,8,5,8,9,21,3,9,17,17,8,19,9,7,15,6,4,9,18,4,21,11,0,11,9,6,9,10,0,12,3,0,3,6,0,6,3,0,3,4,0,4,13,0,14,3,4,6,131,62,190
5100237,0,0,0,0,0,0,0,0,0,0,3,3,4,8,11,6,10,13,7,8,16,7,7,14,10,5,17,13,3,11,3,0,3,9,0,10,11,7,20,13,0,13,8,0,4,4,0,4,5,0,3,9,0,9,0,8,8,109,60,166
5100238,0,0,0,0,3,3,0,3,3,0,3,3,0,5,9,3,3,11,11,3,11,9,3,16,15,3,15,3,0,5,7,3,5,3,0,4,16,3,18,6,0,5,6,0,6,6,0,7,8,0,8,13,0,13,5,3,3,100,44,143
5100239,0,0,4,0,0,0,0,0,0,3,0,3,0,6,9,0,10,10,4,3,4,3,0,3,4,3,9,3,0,3,6,0,5,4,0,4,5,0,7,7,0,7,3,0,3,0,0,0,6,0,6,4,0,4,0,0,0,62,26,90
5100240,0,0,0,0,0,0,3,0,3,3,3,3,3,9,14,0,3,3,10,0,10,3,3,5,17,3,19,3,3,10,5,4,7,7,3,9,8,0,13,9,0,14,3,0,3,0,0,0,0,0,0,17,0,17,0,3,3,102,35,141
5100241,0,0,0,0,0,0,0,0,3,0,8,10,3,3,6,3,3,7,13,4,22,8,3,12,15,5,19,14,0,14,3,0,3,12,0,12,12,0,12,3,0,3,3,0,3,3,0,5,3,0,3,16,0,13,3,0,3,112,37,149
5100243,0,0,0,3,0,4,0,0,5,3,3,6,7,5,12,0,0,0,9,3,14,3,4,12,5,0,7,15,3,17,7,0,7,8,0,6,23,3,22,15,0,15,3,0,3,7,0,7,3,0,4,11,0,11,0,0,3,121,26,150
5100244,0,0,0,0,0,0,0,0,3,0,0,3,3,3,8,8,4,15,12,0,14,11,0,14,9,3,10,14,0,14,15,0,11,7,0,10,13,0,16,5,0,5,10,0,10,3,0,3,3,0,3,18,0,19,3,4,7,138,30,168
