SA1_7DIGITCODE_2016,P_Sol_sp_En_T_2006_2010,P_Sol_sp_En_T_2011,P_Sol_sp_En_T_2012,P_Sol_sp_En_T_2013,P_Sol_sp_En_T_2014,P_Sol_sp_En_T_2015,P_Sol_sp_En_T_2016,P_Sol_sp_En_T_Yr_arr_ns,P_Sol_sp_En_T_T,P_LanProf_En_ns_Bef_2000,P_LanProf_En_ns_2000_2005,P_LanProf_En_ns_2006_2010,P_LanProf_En_ns_2011,P_LanProf_En_ns_2012,P_LanProf_En_ns_2013,P_LanProf_En_ns_2014,P_LanProf_En_ns_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_T,P_T_B_2000,P_T_2000_2005,P_T_2006_2010,P_T_2011,P_T_2012,P_T_2013,P_T_2014,P_T_2015,P_T_2016,P_T_Yr_arrival_ns,P_T_T
5113820,3,3,3,4,3,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,53,5,6,3,5,4,3,0,0,3,79
5113821,21,0,0,3,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,83,7,26,8,6,12,0,0,0,7,148
5113822,4,3,0,0,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,96,18,23,4,8,3,5,4,0,6,174
5113823,6,0,0,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,44,14,13,0,3,3,0,0,0,0,78
5113824,8,0,0,0,0,0,5,0,26,0,0,0,0,0,0,0,0,0,0,0,40,5,21,0,3,3,0,0,3,0,73
5113825,34,7,5,0,3,3,0,0,67,0,0,0,0,0,0,0,0,0,0,0,63,8,49,3,3,0,3,3,0,3,149
5113826,12,3,6,0,0,0,3,0,48,0,0,0,0,0,0,0,0,0,0,0,65,16,25,3,6,0,0,0,3,0,122
5113827,0,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,46,3,6,0,0,0,3,0,0,0,53
5113828,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,64,3,11,0,0,0,0,0,0,4,82
5113831,16,0,3,6,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,50,4,31,4,6,10,0,0,0,0,112
5113832,30,3,0,7,0,4,0,4,66,0,0,5,0,0,0,0,0,0,0,5,80,13,52,5,8,7,8,4,3,3,179
5113833,24,3,8,14,3,9,3,0,115,0,0,0,0,0,0,0,0,0,0,0,82,28,40,13,16,22,6,9,3,0,221
5113834,0,12,5,0,3,0,0,3,42,0,0,0,0,0,0,0,0,0,0,0,61,5,19,12,5,7,3,0,0,5,105
5113835,9,4,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,31,6,15,4,0,0,0,0,0,3,68
5113836,16,0,0,7,6,0,3,4,50,0,0,0,0,0,0,0,0,0,0,0,60,5,24,0,3,7,5,0,3,8,114
5113837,10,0,3,3,3,0,3,0,45,0,0,0,0,0,0,0,0,0,0,0,85,16,34,7,3,3,8,0,5,5,163
5113838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5113839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5113840,72,3,12,0,3,0,4,0,151,0,0,0,0,0,0,0,0,0,0,0,60,22,86,8,12,0,7,0,4,0,195
5113841,37,7,3,3,0,3,3,6,96,0,0,0,0,0,0,0,0,0,0,0,39,23,43,12,3,3,4,3,3,6,148
5113842,51,3,4,3,3,0,6,0,125,0,0,0,0,0,0,0,0,0,0,0,70,31,55,13,4,3,3,0,5,0,188
5113843,134,6,16,23,14,0,3,8,244,0,0,0,0,0,0,0,0,0,0,0,45,40,154,9,21,30,17,3,3,9,328
5113844,71,18,10,3,7,19,0,0,186,0,0,0,0,0,0,0,0,0,0,0,50,38,77,18,22,4,7,18,5,0,248
5113845,34,0,9,0,0,0,4,0,79,0,0,0,0,0,0,0,0,0,0,0,42,25,57,3,9,5,0,0,3,0,140
