SA2_MAINCODE_2016,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_T,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_v,P55_64_yr_T,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_T,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_v,P65_74_yr_T,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_T,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_v,P75_84_yr_T,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_T,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_v,P85ovr_T,PT_C_Own_chld_childrn,PT_C_Oth_ch_chiln,PT_Ca_Ow_ch_ch_oth_ch_ch,PT_C_for_T,PT_D_not_prov_ch_care,PT_U_ch_care_ns,PT_OS_v,PT_T
507011259,30,116,3,154,515,50,12,727,7,80,0,82,303,30,9,424,0,12,0,14,136,20,0,164,0,0,0,0,37,5,0,46,1631,444,53,2127,3680,377,68,6250
507011260,12,73,4,90,297,12,9,405,3,72,3,76,201,17,3,284,0,5,0,5,64,3,0,75,0,0,0,0,19,0,0,18,361,206,21,591,1421,99,97,2203
507021164,82,143,8,230,726,51,8,1017,12,167,0,179,417,36,9,647,0,28,0,28,303,54,0,380,0,0,0,0,100,70,0,168,1260,493,69,1824,3625,437,65,5945
507021165,101,234,3,334,1525,266,35,2166,11,296,0,314,994,223,22,1545,0,58,0,56,586,191,4,835,0,3,0,3,295,98,0,403,1953,915,96,2963,8520,1928,396,13797
507021166,94,183,9,290,1436,123,10,1861,9,273,0,281,944,105,8,1338,13,58,0,73,693,107,5,881,0,0,0,0,269,79,0,348,2061,804,130,2993,7851,943,113,11895
507021167,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,10
507031169,27,170,3,203,526,38,81,854,8,61,0,69,282,29,38,419,0,13,0,13,101,10,10,134,0,0,0,0,15,4,0,23,3172,639,108,3926,5455,564,190,10127
507031170,27,90,0,114,549,69,12,737,9,60,0,64,398,77,3,548,0,15,0,15,361,55,3,433,0,0,0,0,130,30,0,167,1189,397,56,1640,3620,637,36,5933
507031172,0,3,0,3,3,0,0,11,0,3,0,3,7,0,0,12,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,7,9,0,16,36,10,0,64
507031173,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,14,12,0,27
507031174,33,148,0,181,859,120,21,1179,11,89,0,102,669,118,6,890,0,18,0,20,336,97,3,456,0,0,0,0,79,28,0,110,1677,604,92,2375,5137,955,52,8526
507031261,15,111,0,126,364,49,15,555,4,57,0,57,195,36,3,294,0,6,0,6,65,12,0,82,0,0,0,0,18,3,0,20,963,315,31,1303,2517,1172,47,5041
507041175,90,201,3,301,1143,70,29,1533,20,296,0,313,716,42,13,1090,4,79,0,84,459,76,9,626,0,0,0,3,241,66,3,313,1732,762,52,2547,5859,493,151,9045
507041176,29,81,0,110,319,18,13,458,3,99,0,101,245,15,10,368,0,20,0,20,142,13,0,178,0,0,0,0,85,17,0,97,601,258,19,884,2001,143,62,3080
507041177,74,233,4,315,1170,80,14,1576,10,284,0,293,822,77,6,1191,0,70,0,66,600,107,0,780,0,6,0,11,307,142,0,454,2241,845,105,3184,6930,761,86,10964
507041178,101,302,3,405,1223,79,47,1754,30,345,0,369,884,80,34,1371,8,80,0,82,690,74,3,850,0,4,0,4,468,44,0,518,2364,988,68,3423,7686,621,213,11939
507041179,43,153,6,199,709,28,35,972,11,218,0,227,650,32,17,922,3,36,0,37,435,44,4,524,0,3,0,3,328,29,3,365,1186,536,49,1763,4320,209,122,6420
507041180,74,345,0,422,1353,39,15,1830,14,242,0,257,686,39,14,987,0,44,0,41,298,14,10,365,0,0,0,0,122,11,0,136,1712,825,58,2596,5828,235,81,8741
507041181,112,262,0,374,1309,78,9,1777,16,325,0,336,893,64,3,1307,3,92,0,102,811,117,9,1038,0,7,0,7,426,131,4,570,2892,965,117,3972,7959,801,104,12836
507041182,68,260,3,338,1284,152,18,1782,9,279,0,295,903,192,20,1411,3,52,0,57,672,237,6,974,3,4,0,4,316,231,0,554,1471,837,57,2362,7756,1305,285,11705
507041183,17,58,0,74,313,29,3,420,3,54,0,53,220,34,4,309,3,24,0,26,220,34,0,275,0,0,0,0,162,20,0,183,831,242,41,1118,2342,306,26,3787
507041184,47,160,0,212,719,24,21,978,15,158,0,169,427,13,15,626,0,28,0,31,193,8,3,232,0,0,0,0,76,6,0,81,921,456,32,1412,3289,120,84,4906
507051185,85,429,5,519,1525,171,58,2277,22,244,3,268,1103,134,19,1529,3,19,0,24,499,70,14,600,0,0,0,0,103,12,0,116,7036,1628,303,8978,12239,1783,200,23196
507051186,28,168,4,193,836,91,4,1130,5,97,3,108,627,100,4,850,4,11,0,11,375,91,3,479,0,0,0,0,179,40,0,224,1192,572,81,1851,4409,640,30,6924
507051187,37,243,0,281,818,74,8,1175,4,91,0,97,527,57,10,686,0,13,0,12,286,94,4,400,0,0,0,0,64,109,0,171,2489,822,137,3445,5633,810,59,9944
507051188,61,324,5,386,1522,171,30,2108,13,228,0,236,1342,192,21,1795,3,33,0,39,1024,214,5,1276,0,0,0,0,374,100,0,481,1873,969,85,2917,8987,2002,124,14027
507051189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
507051190,47,271,0,316,1122,70,7,1520,13,180,0,191,1035,80,10,1317,6,25,0,32,735,84,0,845,0,4,0,3,310,51,0,369,1627,750,81,2457,6135,554,39,9185
507051191,59,246,3,301,868,66,23,1256,9,130,0,138,554,34,14,743,0,15,0,20,274,37,7,334,0,0,0,0,53,5,0,65,4296,925,190,5417,7368,696,90,13567
507051192,48,256,3,305,1030,89,7,1433,11,136,0,151,663,73,3,887,4,10,0,16,365,61,5,452,0,4,0,4,140,32,0,175,2126,779,87,2995,5743,653,41,9436
507051193,28,191,4,220,871,79,6,1179,7,104,0,118,576,63,10,770,0,24,0,19,325,57,3,406,0,0,0,3,77,22,0,104,1699,665,114,2480,5033,670,45,8222
509011225,62,249,3,319,1459,157,38,1975,15,175,3,195,1310,145,16,1664,7,27,0,32,1031,176,3,1250,0,3,0,3,604,145,0,757,1890,827,109,2828,8082,1053,218,12180
509011226,29,65,0,94,444,59,3,601,5,39,0,46,337,47,0,432,0,4,0,10,89,11,0,110,0,0,0,0,30,7,0,42,506,179,26,707,1770,231,20,2727
509011227,27,76,0,99,477,15,0,596,4,46,0,51,389,21,0,471,0,16,0,12,210,26,3,249,0,0,0,0,55,16,0,67,809,243,49,1102,2218,222,12,3558
509011228,40,86,0,127,735,98,10,966,10,76,0,83,714,95,11,899,0,14,0,13,329,54,0,397,0,0,0,3,94,25,0,120,858,286,49,1191,3035,516,22,4766
509011229,17,60,0,82,314,57,0,453,0,27,0,27,185,39,0,245,0,0,0,3,80,16,0,100,0,0,0,0,14,10,0,25,490,159,24,670,1254,294,17,2235
