SA2_MAINCODE_2016,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
506031126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506031127,5,9,48,57,48,85,106,108,55,519,0,11,42,14,35,23,19,11,10,168,53,157,340,212,115,97,107,79,23,1188,466,1832,4708,2589,1704,1288,817,451,170,14024
506031128,0,0,15,21,25,65,106,81,64,382,0,0,14,14,17,12,23,23,7,117,32,42,110,67,71,86,64,71,66,602,359,860,2232,1757,1561,1774,1297,638,309,10784
506031129,0,0,3,11,17,32,63,93,57,272,3,0,9,4,4,12,4,6,10,53,19,22,33,42,57,44,53,111,125,507,471,852,1199,1669,1966,1491,1212,798,395,10050
506031130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,8,0,0,4,3,0,0,3,0,0,8
506031131,0,0,7,29,21,56,83,80,35,300,0,0,11,8,11,14,10,13,11,78,20,20,44,66,62,62,64,51,46,437,568,1187,1552,2656,2524,2247,1560,589,218,13111
506041132,11,25,54,82,90,115,178,125,46,715,3,19,43,54,61,41,38,23,9,298,38,77,208,137,125,118,106,74,22,896,549,1429,3584,2679,2116,1786,1390,609,174,14304
506041133,10,7,25,63,86,77,87,67,15,432,5,0,33,24,19,16,22,13,7,139,135,247,454,390,168,87,57,65,72,1658,879,1689,3496,3857,3191,1929,1092,449,160,16742
506041134,7,21,71,69,83,100,122,162,90,737,0,17,41,62,48,29,17,20,6,254,74,129,269,222,177,201,181,190,116,1556,608,1366,3149,2652,2275,2046,1586,1085,426,15195
506041135,5,10,38,35,42,56,66,44,17,315,0,8,21,27,22,14,19,10,0,118,44,27,96,119,73,72,70,30,16,553,593,1154,3023,3086,2365,1637,948,308,89,13205
506041136,4,19,61,82,65,79,111,100,59,584,3,8,35,56,55,43,21,23,9,245,49,66,113,126,115,130,123,137,103,951,398,951,2142,1850,1574,1446,1073,641,278,10348
506041137,5,7,59,57,61,129,154,140,59,673,0,10,38,37,34,23,31,27,18,216,55,59,152,141,145,139,131,108,53,982,680,1499,3295,3068,2935,2824,1982,937,268,17487
506051138,0,7,28,27,43,63,100,106,27,397,0,7,29,23,16,18,9,6,0,105,51,55,143,144,132,129,128,95,68,946,539,1140,2919,2814,2242,1962,1357,672,208,13851
506051139,0,3,12,24,33,34,82,76,30,304,0,0,0,6,0,3,3,14,4,38,41,47,138,106,100,105,88,64,25,723,358,795,1840,1670,1610,1290,949,495,124,9127
