SA2_MAINCODE_2016,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
507011159,1211,2390,18,113,121,550,35,172,653,2427,828,3264,88,355,118,389,289,893,491,1640,1318,4903,9,36,24,78,23,96,180,502,240,714,31,95,64,140,187,403,286,637,521,1354,73,160,3127,8800
507011160,1115,2200,12,65,83,392,35,144,565,2105,693,2703,56,234,77,257,284,890,421,1383,1116,4086,4,16,30,91,8,39,166,443,214,594,9,31,43,98,204,433,255,565,467,1156,57,113,2747,7556
507011161,1280,2504,22,132,182,826,43,186,1518,5677,1768,6825,104,416,135,444,231,727,462,1583,2228,8408,7,14,39,140,17,57,230,612,290,829,23,71,62,136,129,293,216,500,502,1322,49,107,4061,12331
507011163,679,1318,19,109,81,364,26,124,555,2118,682,2715,69,282,83,279,181,584,335,1146,1019,3861,4,30,30,99,5,24,100,262,136,418,19,57,31,64,131,282,183,409,319,824,24,42,2030,6056
507011259,722,1424,14,82,84,405,29,147,712,2703,843,3331,69,263,76,259,210,663,353,1194,1197,4523,3,25,24,99,14,44,119,333,163,505,12,38,31,68,112,240,155,345,315,846,23,55,2272,6855
507011260,302,591,7,44,39,188,14,56,131,515,194,810,22,85,51,177,86,269,160,541,351,1349,0,0,9,24,3,12,22,59,34,89,3,5,9,25,27,58,39,90,73,185,6,13,739,2134
507021164,755,1462,11,64,103,446,9,36,514,1947,634,2491,62,244,128,439,128,399,316,1084,949,3579,4,9,24,70,4,15,81,193,109,285,8,19,42,87,73,160,123,262,231,549,27,46,1955,5636
507021165,1710,3300,6,28,98,404,21,87,725,2629,845,3151,50,193,147,476,191,568,388,1238,1230,4392,3,9,35,110,10,27,185,450,236,591,13,47,83,168,184,360,286,575,517,1163,57,120,3518,8973
507021166,1511,2950,22,119,114,491,31,131,854,3176,1014,3920,69,278,129,439,294,897,495,1623,1511,5542,10,38,30,108,19,55,225,564,275,759,27,90,94,194,266,546,385,826,662,1590,59,129,3749,10211
507021167,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
507031169,1150,2266,27,159,178,848,57,250,1458,5456,1718,6707,70,291,90,311,162,497,324,1102,2048,7804,10,43,40,161,19,64,287,813,351,1079,24,82,54,126,122,269,200,476,551,1560,61,124,3801,11750
507031170,615,1208,24,122,65,321,45,189,430,1708,558,2342,31,130,33,106,127,404,196,638,752,2981,3,26,36,147,19,70,216,617,279,860,15,51,43,89,147,310,203,449,482,1309,51,108,1893,5598
507031172,10,14,3,9,0,0,0,3,0,8,3,23,0,0,0,0,0,8,0,8,8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,3,4,0,0,17,52
507031173,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
507031174,962,1915,19,118,89,418,48,225,641,2452,798,3219,51,226,66,206,228,732,348,1156,1149,4382,7,37,33,125,32,105,293,818,372,1088,20,70,33,89,237,499,298,655,663,1748,44,104,2818,8142
507031261,627,1219,17,96,47,201,12,68,432,1597,502,1963,39,153,50,157,129,419,217,729,717,2698,0,5,12,44,0,4,70,193,89,245,3,16,14,34,51,113,74,160,159,411,22,46,1526,4365
507041175,1235,2423,18,79,133,611,14,55,706,2735,868,3481,109,422,209,717,262,797,581,1937,1446,5415,3,15,28,102,6,23,99,239,140,383,27,93,66,158,132,263,223,510,364,887,50,111,3100,8846
