SA2_MAINCODE_2016,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2_sty_Dw,sd_rw_tce_hs_th_wth_2_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_stry_blck_D,Flt_apart_In_4_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
505031099,7256,20988,887,1644,43,76,934,1724,70,109,0,0,0,0,0,0,70,109,0,0,0,0,0,0,0,3,0,3,14,25,8269,22848,740,..,9008,22848
505031100,5072,15665,333,695,15,37,349,732,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,10,3,12,0,6,5431,16415,345,..,5779,16415
505031101,3862,10875,651,1429,171,369,824,1792,10,13,18,24,0,0,0,0,24,35,0,0,4,9,0,0,0,0,6,10,7,13,4714,12726,538,..,5252,12726
505031102,2416,7063,596,1253,171,377,771,1637,4,20,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,3,7,3191,8722,297,..,3489,8722
505031103,7025,22706,793,1879,126,367,919,2252,0,0,0,0,0,0,0,4,3,6,51,81,15,30,0,0,0,7,67,111,11,30,8022,25102,448,..,8474,25102
505031104,3221,9632,321,633,18,51,344,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3565,10321,217,..,3790,10321
505031105,5863,17493,271,507,85,185,349,698,8,16,26,44,12,15,0,0,43,80,0,3,0,0,0,0,0,0,0,8,3,5,6262,18278,692,..,6953,18278
505031106,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,..,4,9
505031107,4173,12422,230,526,9,35,237,559,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,6,0,0,4411,12987,369,..,4783,12987
505031108,8083,22598,1042,2108,14,28,1058,2135,12,21,0,0,0,0,0,0,18,27,52,61,75,98,0,0,9,16,135,178,12,15,9299,24951,699,..,10001,24951
505031255,2642,7246,251,549,0,0,251,551,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,19,2896,7816,420,..,3315,7816
505031256,241,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,243,719,19,..,258,719
505031257,1117,2844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,33,0,0,10,43,3,17,1137,2896,156,..,1294,2896
505031258,3019,8236,78,162,19,33,94,201,5,6,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,10,20,3129,8464,450,..,3573,8464
506011110,5669,15191,1658,3119,38,63,1692,3180,98,203,47,82,0,0,0,0,147,285,0,3,0,0,0,3,10,19,11,23,19,46,7539,18727,960,..,8504,18727
506011111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,..,0,9
506011112,1931,5140,112,235,10,20,123,252,0,0,0,0,0,0,0,0,0,0,39,49,0,0,0,0,0,0,41,49,3,3,2100,5449,220,..,2318,5449
506011113,5621,17210,728,1897,28,84,755,1979,0,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,7,21,3,23,7,17,6390,19223,532,..,6918,19223
506011114,3398,8756,616,1250,3,12,620,1258,56,91,28,52,0,0,0,0,85,143,47,58,3,4,0,0,3,0,58,69,12,21,4173,10242,407,..,4580,10242
506011115,2840,7634,36,80,0,0,36,80,18,38,0,0,0,0,0,0,18,38,0,3,0,0,0,0,0,3,3,6,3,12,2904,7767,243,..,3146,7767
506011116,2524,6813,3,10,0,0,3,10,0,0,0,0,0,0,0,3,0,3,3,4,0,0,0,0,3,3,5,6,10,15,2538,6848,173,..,2717,6848
506011117,3187,9753,213,404,0,0,213,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,3403,10160,259,..,3664,10160
506021118,4270,10779,772,1488,456,1001,1228,2488,116,213,13,29,63,101,0,0,192,344,18,38,12,35,8,6,4,19,48,96,32,62,5774,13776,765,..,6541,13776
506021119,4326,10839,1557,3220,167,375,1721,3595,461,926,307,541,64,105,0,0,839,1570,0,0,0,3,3,3,14,30,15,35,34,68,6937,16105,834,..,7772,16105
506021120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,..,4,0
