SA2_MAINCODE_2016,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6_Fam_hh,Nu_pn_pre_Ce_Ngt_6_No_fam_hh,Num_pns_pres_Cen_Ngt_6_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
507051190,143,1381,1523,1565,218,1780,604,41,646,529,29,561,205,7,216,89,0,94,3144,1678,4824
507051191,191,710,903,1453,175,1628,1229,78,1303,1439,65,1505,605,30,630,244,7,253,5160,1059,6222
507051192,126,846,967,1273,206,1481,741,62,802,696,37,729,318,20,335,164,9,173,3317,1174,4492
507051193,99,791,887,1149,196,1347,633,60,691,546,45,597,252,22,272,147,8,152,2820,1125,3943
509011225,114,2125,2238,1820,391,2216,615,65,683,571,39,609,234,16,251,130,6,140,3494,2639,6127
509011226,26,232,262,452,70,528,168,12,178,160,16,174,79,9,84,31,0,32,920,341,1258
509011227,43,333,383,603,56,660,268,17,282,271,4,281,111,11,121,39,0,41,1340,426,1774
509011228,70,650,722,816,188,1003,282,35,320,232,29,261,94,14,105,41,7,44,1538,912,2453
509011229,25,317,340,352,105,462,137,32,164,120,17,133,64,8,70,25,4,22,713,477,1192
509011230,33,475,511,492,127,623,182,48,231,162,30,191,103,15,117,81,13,92,1058,710,1761
509011231,36,417,454,534,79,614,194,27,219,177,28,200,91,11,104,48,3,56,1078,563,1638
509011232,50,271,324,448,40,482,150,6,161,163,5,168,77,0,77,33,0,33,919,324,1244
509011233,78,903,983,1174,206,1375,526,58,590,493,29,521,266,10,279,166,6,172,2709,1214,3921
509011234,56,551,602,690,114,803,241,26,267,187,17,207,102,5,113,56,8,72,1330,723,2057
509011235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509021236,56,300,357,653,94,744,267,22,283,263,22,289,135,9,147,98,3,99,1466,456,1922
509021237,28,509,536,489,97,590,190,24,222,144,12,157,83,9,98,50,0,55,991,655,1653
509021238,41,563,605,536,118,658,177,11,195,165,14,179,82,0,81,32,4,35,1034,715,1753
509021239,102,929,1030,1162,339,1506,354,66,427,341,40,378,143,13,160,78,26,110,2193,1416,3604
509021240,50,617,673,634,116,747,232,42,274,194,13,209,117,3,125,55,20,68,1280,817,2097
509021241,35,559,598,536,127,664,231,27,256,215,24,241,111,10,127,56,8,59,1183,752,1938
