SA2_MAINCODE_2016,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_v,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_v,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_v,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_v,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Total_OS_v,P_Total_Total
507051185,413,656,305,269,402,176,58,2277,202,332,264,195,357,148,19,1529,61,119,69,77,203,73,14,600,22,15,5,11,51,20,0,116,5301,6477,2716,2472,4197,1834,200,23196
507051186,182,306,158,129,250,100,4,1130,80,179,116,133,229,100,4,850,54,78,34,53,164,90,3,479,13,22,9,10,120,46,0,224,1273,1730,748,749,1719,677,30,6924
507051187,200,358,173,142,216,78,8,1175,60,130,120,110,187,72,10,686,43,61,34,56,95,109,4,400,11,12,6,6,36,104,0,171,2190,2569,1157,1132,1998,837,59,9944
507051188,341,600,280,204,475,179,30,2108,156,377,257,266,508,210,21,1795,105,191,145,132,445,246,5,1276,29,65,35,27,217,117,0,481,2429,3200,1441,1212,3555,2069,124,14027
507051189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
507051190,256,468,254,186,284,72,7,1520,137,302,242,223,311,93,10,1317,76,167,107,135,259,103,0,845,38,57,24,33,168,50,0,369,1724,2521,1239,1079,1975,607,39,9185
507051191,207,399,223,133,200,70,23,1256,81,188,145,117,153,43,14,743,39,61,46,50,100,34,7,334,18,10,11,3,16,5,0,65,3157,3788,1791,1602,2435,701,90,13567
507051192,230,427,223,140,301,97,7,1433,107,188,162,151,198,79,3,887,36,78,73,67,118,77,5,452,21,15,14,17,62,35,0,175,1933,2451,1216,1022,2081,684,41,9436
507051193,182,355,173,135,248,82,6,1179,81,165,148,123,171,64,10,770,35,71,54,57,138,56,3,406,4,6,5,15,43,25,0,104,1671,2113,1018,963,1726,684,45,8222
509011225,367,637,313,181,280,163,38,1975,215,414,227,257,373,164,16,1664,126,216,160,156,395,189,3,1250,69,101,46,38,346,155,0,757,2506,3215,1448,1182,2479,1131,218,12180
